fid,objtype,lokalid,navnerom,versjonid,datafangstdato,oppdateringsdato,datauttaksdato,opphav,kommunenummer,navn,Turnover_capita_retail_Omsetning
"123",Kommune,6880c18a-f70c-4b08-bde5-7c0ac01acac3,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20190304000000",,,"5006",,"118632"
"124",Kommune,acb787f3-83a1-4deb-b2c2-4852a0d39a74,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1127",,"71720"
"125",Kommune,eba4a975-03b9-4257-ae9b-ab447574d180,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1520",,"87950"
"126",Kommune,09f76545-99bb-45f0-99e6-692a92f4081c,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20190304000000",,,"5060",,"92644"
"127",Kommune,54e5adae-5e1f-42df-bcfe-d23a55d2bcef,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20190301000000",,,"4602",,"91661"
"128",Kommune,8f8498b7-16fe-4793-a8f4-45c17d026f76,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20190301000000",,,"4649",,"98413"
"129",Kommune,164e6569-2171-4f1a-aead-0fdba4c089d7,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3808",,"125625"
"130",Kommune,ba889808-a24b-41b5-ab28-410804599e22,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1836",,"104566"
"131",Kommune,417e942c-90ff-4297-86bc-9ae97da886b7,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5054",,"64581"
"132",Kommune,59052a09-adad-48e8-9bae-0a20ffca79d1,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5025",,"133219"
"133",Kommune,a958447a-bec5-414e-adfd-5b2a5311e3dc,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5033",,"67050"
"134",Kommune,c0cb164d-c3e4-4744-a925-49f48f46b3e9,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20170103000000",,,"1841",,"119786"
"135",Kommune,0ef8e159-6830-4920-869a-83ffdd074340,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5442",,"23550"
"136",Kommune,88a5d065-bb43-4e0e-8d0b-bca963d062aa,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5443",,"73286"
"137",Kommune,1186aae1-e02e-4b65-81a3-cbde27cc46d1,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1812",,"96223"
"138",Kommune,75bac93e-de89-4bc1-a0d4-775cdcf8f423,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20190318000000",,,"1547",,"46988"
"139",Kommune,eaeafecc-504c-4d2e-83f2-6d104d14b3a0,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20170103000000",,,"3804",,"193700"
"140",Kommune,29cbae47-572b-4871-874e-931323ad34d1,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5035",,"106297"
"141",Kommune,a3c6c83a-5ef4-4e11-a0c3-e454c9f82766,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3452",,"64006"
"142",Kommune,2e32159b-6a67-4baf-8cd9-0b3899f43d72,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3823",,"57018"
"143",Kommune,69955d74-46c1-4e31-a1d8-ccc5bb578701,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3407",,"119388"
"144",Kommune,afb7764a-6c5a-4a0a-94fe-e02d3390d5a4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3028",,"63501"
"145",Kommune,9def2406-0c19-4e3e-aef1-089b0e69f926,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3429",,"50724"
"146",Kommune,2236475d-71c8-48c5-90d1-7055c065305a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3054",,"55033"
"147",Kommune,0a511fd7-9fb7-4bff-8322-6b720461c34a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3044",,"155465"
"148",Kommune,24d908d1-655e-4cfd-9f06-d94dae84b43a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4223",,"61625"
"149",Kommune,41fc71df-b2ed-4fde-9b4b-1f2aeba338d3,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4224",,"44958"
"150",Kommune,6fa0e284-ac3b-4ffc-8073-a6c95b339d73,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3450",,"55430"
"151",Kommune,f9b0d8a0-4a00-4353-9a28-10e0f91f515e,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3016",,"66120"
"152",Kommune,71d8fb41-ca12-4678-901b-6614cc354a43,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3818",,"96731"
"153",Kommune,e06e8cb6-f18d-46d4-9c5b-30a119ecd02e,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3045",,"71879"
"154",Kommune,57f4f1e3-a68a-4e19-b1dc-1e2df6d2a620,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3426",,"30113"
"155",Kommune,dbcd6009-d567-44e1-b075-260f19c503ff,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4217",,"216604"
"156",Kommune,314cf49e-afb3-466e-a12f-1df87b34ee3f,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3428",,"44127"
"157",Kommune,32e90869-c2ce-4390-9efb-93965e44a2ac,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3821",,"54429"
"158",Kommune,0f821a2d-a307-41ec-9b64-f01c80e39357,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3424",,"56819"
"159",Kommune,a2b4ac1b-74a5-4477-bc99-16fc386e8a5c,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20000630000000",,,"3825",,"124728"
"160",Kommune,13900f60-1c4a-4a21-9dd2-37efbcecce02,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3403",,"124716"
"161",Kommune,f7c6e517-553a-46a4-8048-781d685aeab3,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3442",,"57895"
